taxonomy_name,dataset_name,num_classes
albuquerque2011ontobio_tx001.ttl,albuquerque2011ontobio,5
albuquerque2011ontobio_tx002.ttl,albuquerque2011ontobio,8
albuquerque2011ontobio_tx003.ttl,albuquerque2011ontobio,3
albuquerque2011ontobio_tx004.ttl,albuquerque2011ontobio,49
albuquerque2011ontobio_tx005.ttl,albuquerque2011ontobio,4
albuquerque2011ontobio_tx006.ttl,albuquerque2011ontobio,5
albuquerque2011ontobio_tx007.ttl,albuquerque2011ontobio,4
albuquerque2011ontobio_tx008.ttl,albuquerque2011ontobio,39
albuquerque2011ontobio_tx009.ttl,albuquerque2011ontobio,8
albuquerque2011ontobio_tx010.ttl,albuquerque2011ontobio,2
albuquerque2011ontobio_tx011.ttl,albuquerque2011ontobio,4
albuquerque2011ontobio_tx012.ttl,albuquerque2011ontobio,5
