execution_number,input_class_name,input_class_stereotype
1,Column_Selection,subkind
2,Cross_Validation,subkind
3,Data_Cleaning_Preprocessing_Operator,subkind
4,Data_Coding,subkind
5,Data_Create,subkind
6,Data_Discretization,subkind
7,Data_Missing_Imputation,subkind
8,Data_Normalization,subkind
9,Data_Outlier_Treatment,subkind
10,Data_Partition_Preprocessing_Operator,subkind
11,Data_Preprocessing_Executable_Operator,subkind
12,Data_Preprocessing_Operator,subkind
13,Data_Reduction_Preprocessing_Operator,subkind
14,Data_Sampling_Correction_Preprocessing_Operator,subkind
15,Data_Standardization,subkind
16,Data_Transformation_Preprocessing_Operator,subkind
17,Data_Type_Convert,subkind
18,Holdout,subkind
19,Line_Selection,subkind
20,Operator,kind
21,Oversampling,subkind
22,Undersampling,subkind
