class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Political_Society,subkind,subkind,False,True,False,1,0,4
Religious_Society,subkind,subkind,False,True,False,1,0,4
Live_Border,subkind,subkind,False,True,False,1,0,3
Educational_Society,subkind,subkind,False,True,False,1,0,4
Border_Part,kind,kind,True,False,False,0,3,3
Sketched_Border,subkind,subkind,False,True,False,1,0,3
Individual,kind,kind,True,False,False,0,2,2
Society,kind,kind,True,False,False,0,4,4
Rulee,role,role,False,True,False,1,0,2
Ruler,role,role,False,True,False,1,0,2
Dead_Border,subkind,subkind,False,True,False,1,0,3
Familiar_Society,subkind,subkind,False,True,False,1,0,4
